symbol,shortName,sector,industry,marketCap,currentPrice,trailingPE,priceToBook,returnOnEquity,debtToEquity,earningsGrowth,revenueGrowth,profitMargins,dividendYield,status,error
3MINDIA.NS,3M INDIA LIMITED,Industrials,Conglomerates,405936799744.0,36035.0,77.59475,22.958282,0.289,9.6,2.017,0.168,0.10262,0.44,ok,
21STCENMGM.NS,21ST CENTURY MGMT SERVICE,Financial Services,Capital Markets,457590016.0,43.58,,1.3842392,-0.57208,,,,0.0,,ok,
360ONE.NS,360 ONE WAM LIMITED,Financial Services,Asset Management,475287257088.0,1168.1,38.78154,4.8162518,,161.977,0.161,0.299,0.26455998,1.51,ok,
3BBLACKBIO.NS,3B BLACKBIO DX LTD.,,,,1207.7,,3.1096473,0.19889,0.937,0.132,0.575,0.41280997,,ok,
3IINFOLTD.NS,3I INFOTECH LIMITED,Technology,Information Technology Services,5483228160.0,25.79,14.407822,1.4466821,,16.298,-0.152,0.043,0.04895,,ok,
5PAISA.NS,5PAISA CAPITAL LIMITED,Financial Services,Capital Markets,17230469120.0,367.55,28.186348,1.7710435,,58.31,0.002,0.134,0.14894,,ok,
20MICRONS.NS,20 MICRONS LTD,Basic Materials,Other Industrial Metals & Mining,6671619584.0,189.07,10.014301,1.3795193,,32.043,0.055,-0.01,0.07119,0.65,ok,
3PLAND.NS,3P LAND HOLDINGS LIMITED,,,,,,,,,,,,,ok,
63MOONS.NS,63 MOONS TECHNOLOGIES LTD,Technology,Software - Application,39523864576.0,857.75,,1.1133307,-0.0152,0.149,1.046,5.195,-0.10602,0.14,ok,
AADHARHFC.NS,AADHAR HOUSING FINANCE L,Financial Services,Mortgage Finance,221467508736.0,506.4,19.66602,2.925916,,255.574,0.19,0.196,0.48151,,ok,
A2ZINFRA.NS,A2Z INFRA ENGINEERING LTD,Industrials,Engineering & Construction,3087113472.0,17.39,69.56,6.2062807,0.17871,301.806,0.496,0.018,0.01132,,ok,
AAATECH.NS,AAA TECHNOLOGIES LIMITED,Technology,Information Technology Services,1179424256.0,91.95,57.111797,3.8418148,0.06677,,,-0.681,0.10123,1.64,ok,
AAREYDRUGS.NS,AAREY DRUGS & PHARM LTD,Healthcare,Drug Manufacturers - Specialty & Generic,2310025216.0,81.47,58.61151,1.5410953,0.02747,40.385,2.313,0.753,0.0084,,ok,
AARNAV.NS,AARNAV FASHIONS LIMITED,,,,30.82,,0.6581392,,55.533,-0.11,-0.109,0.02023,,ok,
AAKASH.NS,AAKASH EXPLORATION SER L,Energy,Oil & Gas Equipment & Services,910237504.0,8.99,25.685715,1.3925031,0.056339998,41.927,5.757,0.267,0.03112,,ok,
AARON.NS,AARON INDUSTRIES LIMITED,Industrials,Specialty Industrial Machinery,2811855360.0,134.24,41.432102,5.7842126,0.14835,57.079,-0.157,0.133,0.07388,0.37,ok,
AARTECH.NS,AARTECH SOLONICS LIMITED,Industrials,Electrical Equipment & Parts,1493207680.0,47.0,37.6,4.816067,0.11931,16.02,,0.655,0.099020004,0.26,ok,
AARTIDRUGS.NS,AARTI DRUGS LTD.,Healthcare,Drug Manufacturers - Specialty & Generic,37986574336.0,416.2,19.866348,2.4512923,,37.221,-0.069,0.191,0.07139,0.49,ok,
AARVI.NS,AARVI ENCON LIMITED,Industrials,Staffing & Employment Services,2276552704.0,153.71,13.048388,1.6001625,0.1318,18.792,0.557,0.192,0.02711,1.28,ok,
AARTIPHARM.NS,AARTI PHARMALABS LIMITED,Healthcare,Drug Manufacturers - Specialty & Generic,62192750592.0,685.85,35.135757,2.9275424,0.08492,37.359,-0.308,0.033,0.096020006,0.58,ok,
AARTIIND.NS,AARTI INDUSTRIES LTD,Basic Materials,Specialty Chemicals,182125068288.0,502.1,34.296448,3.0478146,,83.392,2.605,0.425,0.05901,0.21,ok,
AARTISURF.NS,AARTI SURFACTANTS LIMITED,Basic Materials,Specialty Chemicals,4539981824.0,535.95,24.698156,1.8502537,,42.536,2.058,0.264,0.020079998,0.18,ok,
AASTHA.NS,AASTHA SPINTEX LIMITED,Consumer Cyclical,Textile Manufacturing,,74.6,14.3737955,1.8943626,0.16809,66.539,-0.162,0.361,0.05362,,ok,
AAVAS.NS,AAVAS FINANCIERS LIMITED,Financial Services,Mortgage Finance,108746268672.0,1371.5,15.899606,2.1503875,,310.553,0.23,0.169,0.42543998,,ok,
ABAN.NS,ABAN OFFSHORE LTD.,Energy,Oil & Gas Drilling,1166722816.0,19.99,,-0.004340767,,,,-0.241,-1.85485,,ok,
ABANSENT.NS,ABANS ENTERPRISES LTD.,,,,25.99,,0.83746856,0.018760001,74.518,,2.298,0.00029,,ok,
ABBOTINDIA.NS,ABBOTT INDIA LIMITED,Healthcare,Drug Manufacturers - Specialty & Generic,591474327552.0,27835.0,38.091003,12.389001,0.34460998,3.602,0.076,0.065,0.22399001,1.88,ok,
ABCOTS.NS,A B COTSPIN INDIA LIMITED,Consumer Cyclical,Textile Manufacturing,4364390912.0,198.71,33.28476,2.8498697,0.09871,95.828,-0.075,0.225,0.04359,,ok,
ABCAPITAL.NS,ADITYA BIRLA CAPITAL LTD.,Financial Services,Financial Conglomerates,1116490432512.0,408.05,26.60039,3.1052613,,495.936,0.407,0.314,0.119449995,,ok,
ABB.NS,ABB INDIA LIMITED,Industrials,Specialty Industrial Machinery,1610503553024.0,7600.0,101.292816,17.251123,0.19131,1.547,0.03,0.121,0.21349001,0.51,ok,
ABDL.NS,ALLIED BLEND N DISTILS L,Consumer Defensive,Beverages - Wineries & Distilleries,167616299008.0,599.25,75.66288,10.081256,,68.251,-0.13,0.061,0.05554,0.89,ok,
ABFRL.NS,ADITYA BIRLA FASHION & RT,Consumer Cyclical,Apparel Manufacturing,77058506752.0,63.33,,1.3192927,-0.12693,98.822,,0.157,-0.094890006,,ok,
ABLBL.NS,ADITYA BIRLA LIFES BRAN L,Consumer Cyclical,Apparel Retail,114005942272.0,93.86,64.73103,8.11236,,213.719,0.206,0.111,0.02046,0.53,ok,
ABSLAMC.NS,ADIT BIRL SUN LIF AMC LTD,Financial Services,Asset Management,296582119424.0,1025.3,29.479588,7.3265023,,1.577,0.117,0.106,0.47594002,2.51,ok,
ABINFRA.NS,A B INFRABUILD LIMITED,Industrials,Engineering & Construction,6362342400.0,9.96,33.199997,3.9028213,0.13832,68.314,-0.113,0.17,0.07549,0.05,ok,
ABREL.NS,ADITYA BIRLA REAL EST LTD,Real Estate,Real Estate Services,152907038720.0,1382.8,,4.1329923,-0.08911,152.371,,,-0.24914,0.18,ok,
ABMKNO.NS,A B M KNOWLEDGEWARE LTD.,,,,186.21,,1.2640432,0.04177,,-0.521,0.047,0.09132,,ok,
