actual,lstm_prediction
1309.5,1336.6376
1313.5999755859375,1331.5557
1318.0999755859375,1326.3774
1318.0999755859375,1323.4504
1301.0,1322.3319
1293.9000244140625,1318.3394
1308.0,1312.4745
1303.5,1310.5927
1304.0,1310.0359
1321.300048828125,1310.4869
1308.4000244140625,1315.5128
1275.9000244140625,1318.4257
1279.800048828125,1311.9563
1307.800048828125,1303.6873
1296.9000244140625,1302.9657
1293.0,1303.3811
1295.5,1303.3988
1296.5999755859375,1303.8287
1327.199951171875,1304.5939
1323.0999755859375,1312.5797
1303.699951171875,1321.0864
1288.5999755859375,1323.0533
1272.199951171875,1317.8217
1278.0,1306.6343
1280.0,1296.7151
1267.699951171875,1290.1494
1275.9000244140625,1283.9742
1292.9000244140625,1281.3805
1307.800048828125,1285.0225
1293.199951171875,1294.3643
