ds,yhat,yhat_lower,yhat_upper
2026-05-12,1391.75085298002,1358.2478736332166,1425.5032919836585
2026-05-13,1390.4222402455796,1359.0423064184276,1422.9884351634514
2026-05-14,1385.589449460959,1353.4132434824924,1417.1601997130774
2026-05-15,1381.2049486889591,1349.6258877185273,1410.104541978266
2026-05-18,1366.630587133528,1334.3490116830005,1399.799071365843
2026-05-19,1359.1009347273769,1328.1281135213603,1390.2477967298883
2026-05-20,1357.7293121201164,1323.8536249853405,1389.9574685365894
2026-05-21,1353.2976692497205,1321.5007561819978,1385.228161712437
2026-05-22,1349.6954217139426,1316.4259003631682,1383.3106874415137
2026-05-25,1339.0592124205873,1305.7542114135288,1370.1744199014252
2026-05-26,1333.1368745933976,1298.5240098204163,1364.1167551439164
2026-05-27,1333.4082531884153,1300.8635679004753,1364.469299504221
2026-05-28,1330.596679168201,1295.0230692112787,1360.9422684164624
2026-05-29,1328.5410761086528,1296.1462886571646,1359.7609310496748
2026-06-01,1321.747843930611,1289.4531468688344,1351.9250707062886
2026-06-02,1316.7767381552014,1284.1564098700724,1349.1772975066976
2026-06-03,1317.8304193772335,1284.852902313414,1350.075622646085
2026-06-04,1315.645823568638,1284.321571357073,1347.8270920896798
2026-06-05,1314.0849219745285,1281.8952451159157,1347.6323944877338
2026-06-08,1308.3237115384775,1275.7972077324177,1339.253866136267
2026-06-09,1303.684229946461,1272.05049250413,1336.5574215022084
2026-06-10,1305.1376161735798,1273.1883269163482,1336.6874820897838
2026-06-11,1303.4639373685145,1269.5429126628028,1333.5900179580763
2026-06-12,1302.564359271877,1270.9094227739854,1333.496635735425
2026-06-15,1299.9821090178636,1269.016905727428,1331.61323859012
2026-06-16,1296.8537010699188,1266.5053527691457,1328.7568167972474
2026-06-17,1300.0439713394953,1267.9532261710963,1332.823142930922
2026-06-18,1300.3156512216062,1268.0017339692406,1330.4530026961006
2026-06-19,1301.540700354165,1270.147037796775,1332.5326579214538
2026-06-22,1305.9483474348178,1273.4577900242189,1336.9599503022596
2026-06-23,1305.1534805703072,1271.8594798110937,1337.073039081577
2026-06-24,1310.5592746558273,1280.775746089146,1342.4988633984149
2026-06-25,1312.849316844113,1282.3286187213362,1348.3088080303266
2026-06-26,1315.814761109977,1282.4740068342187,1350.674087234669
2026-06-29,1322.9952388095996,1288.2186367444356,1354.9772003769976
2026-06-30,1322.0751506026313,1289.819885231099,1352.50280841713
2026-07-01,1326.7361175498731,1293.5522660520141,1358.1741486192518
2026-07-02,1327.6224670068866,1296.3083392924277,1361.0417288255824
2026-07-03,1328.5003940332906,1295.377425514775,1361.7960171323398
2026-07-06,1325.3055644150259,1293.2081155804453,1355.3396880752557
2026-07-07,1319.6371728430586,1286.3417761295655,1351.8490044843409
2026-07-08,1318.987617616611,1286.9687706265058,1352.1946016310612
2026-07-09,1314.0748545204433,1282.98287312797,1347.3769482655937
2026-07-10,1308.7529633329727,1274.7419658218848,1341.4315403042265
2026-07-13,1285.6063223035492,1253.0564646431142,1318.2872591144073
2026-07-14,1273.2280276371857,1242.8304962981558,1304.7670603945814
2026-07-15,1266.0454606302503,1233.592390489692,1301.4564070575416
2026-07-16,1254.9007312389829,1222.3292707745454,1290.2483327991167
2026-07-17,1243.7679405782355,1211.0060946526246,1276.985456715057
2026-07-20,1206.7912944976738,1171.8548512542493,1242.9384422629882
2026-07-21,1191.302539506409,1156.5676749671106,1229.3490989260001
2026-07-22,1181.8705005383547,1144.8363915603131,1213.0625988086076
2026-07-23,1169.377380786501,1130.9657350541956,1205.1194109214969
2026-07-24,1157.8179258199134,1121.7894920725744,1196.2702107963278
2026-07-27,1124.9983392250417,1089.8014637796778,1160.762592205156
2026-07-28,1112.578748258719,1074.3916393175841,1148.229160529143
2026-07-29,1106.9477193890546,1072.1718632078582,1144.6861952556683
2026-07-30,1098.8976255044981,1059.0401664198957,1136.3616262488897
2026-07-31,1092.3204832313388,1053.370866760284,1127.8758371512502
2026-08-03,1076.5195696065964,1038.304891493411,1113.5784548402687
