symbol,shortName,sector,industry,marketCap,currentPrice,trailingPE,priceToBook,returnOnEquity,debtToEquity,earningsGrowth,revenueGrowth,profitMargins,dividendYield,status,error,cap_category,valuation_score,profitability_score,financial_health_score,growth_score,margin_score,total_score,score_percentile,recommendation
GARUDA.NS,GARUDA CONSTRUCT N ENG L,Industrials,Engineering & Construction,16794035200.0,180.5,13.410104,3.6845758,0.31127,2.649,0.903,0.827,0.23080999,0.03,ok,,Small Cap,25.0,25.0,19.7,20.0,10.0,99.7,99.9664654594232,Strong Buy (Long-Term)
HBLENGINE.NS,HBL ENGINEERING LTD,Industrials,Electrical Equipment & Parts,201548431360.0,727.1,24.756554,9.023218,0.44074002,3.021,0.418,0.27,0.24672002,0.27,ok,,Small Cap,25.0,25.0,19.7,20.0,10.0,99.7,99.9664654594232,Strong Buy (Long-Term)
BLS.NS,BLS INTL SERVS LTD,Industrials,Specialty Business Services,104662450176.0,254.33,15.284255,4.249031,0.30143,15.468,0.316,0.176,0.22904,1.18,ok,,Small Cap,25.0,25.0,18.5,20.0,10.0,98.5,99.86586183769283,Strong Buy (Long-Term)
CASTROLIND.NS,CASTROL INDIA LIMITED,Energy,Oil & Gas Refining & Marketing,189990633472.0,192.08,17.884544,9.967826,0.56996,2.784,0.425,0.25,0.17066,6.44,ok,,Small Cap,25.0,25.0,19.7,20.0,8.5,98.3,99.79879275653923,Strong Buy (Long-Term)
JSLL.NS,JEENA SIKHO LIFECARE LTD,Healthcare,Medical Care Facilities,74344259584.0,598.1,33.544586,15.920464,0.59921,27.261,0.781,0.548,0.27684,0.18,ok,,Small Cap,25.0,25.0,17.3,20.0,10.0,97.3,99.73172367538564,Strong Buy (Long-Term)
DEVIT.NS,DEV INFO TECHNOLOGY LTD,Technology,Information Technology Services,1516747520.0,26.91,2.0309434,1.4064705,0.84907997,28.008,6.419,0.045,0.39988998,0.74,ok,,Small Cap,25.0,25.0,17.2,20.0,10.0,97.2,99.63112005365527,Strong Buy (Long-Term)
KRONOX.NS,KRONOX LAB SCIENCES LTD,Basic Materials,Specialty Chemicals,6068359168.0,163.55,21.923594,5.1697435,0.26824,1.384,0.267,-0.0,0.27327,0.3,ok,,Small Cap,25.0,22.4,19.9,20.0,10.0,97.2,99.63112005365527,Strong Buy (Long-Term)
IKS.NS,INVENTURUS KNOWLEDGE SO L,Healthcare,Health Information Services,291496525824.0,1737.7,41.070667,10.382945,0.31441,26.873,0.394,0.185,0.22591999,,ok,,Mid Cap,23.9,25.0,17.3,20.0,10.0,96.2,99.53051643192488,Strong Buy (Long-Term)
BORANA.NS,BORANA WEAVES LIMITED,Consumer Cyclical,Textile Manufacturing,9048742912.0,339.6,13.9408865,3.217585,0.35007998,25.149,0.579,0.28,0.16627,,ok,,Small Cap,25.0,25.0,17.5,20.0,8.3,95.8,99.46344735077129,Strong Buy (Long-Term)
CEINSYS.NS,CEINSYS TECH LIMITED,Industrials,Engineering & Construction,17632651264.0,842.15,12.607036,2.2921696,0.24595,8.43,0.7,0.199,0.20194,,ok,,Small Cap,25.0,20.5,19.2,20.0,10.0,94.7,99.3963782696177,Strong Buy (Long-Term)
HEROMOTOCO.NS,HERO MOTOCORP LIMITED,Consumer Cyclical,Auto Manufacturers,1145808355328.0,5725.0,20.4647,5.300558,0.28027,3.57,0.257,0.302,0.12109999,3.25,ok,,Large Cap,25.0,23.4,19.6,20.0,6.1,94.1,99.32930918846412,Strong Buy (Long-Term)
LUPIN.NS,LUPIN LIMITED,Healthcare,Drug Manufacturers - Specialty & Generic,1080674615296.0,2363.5,20.306728,4.813479,0.26907,29.388,0.89,0.319,0.19073999,0.75,ok,,Large Cap,25.0,22.4,17.1,20.0,9.5,94.0,99.26224010731053,Strong Buy (Long-Term)
GAUDIUMIVF.NS,GAUDIUM IVF N WOMEN H L,Healthcare,Medical Care Facilities,9531442176.0,130.95,33.40561,5.3624077,0.24660999,16.133,0.295,0.127,0.2344,,ok,,Small Cap,25.0,20.6,18.4,20.0,10.0,93.9,99.19517102615694,Strong Buy (Long-Term)
GKENERGY.NS,GK ENERGY LIMITED,Utilities,Utilities - Renewable,27757570048.0,136.86,12.719331,3.128729,0.37255,23.151,0.322,0.352,0.1191,,ok,,Small Cap,25.0,25.0,17.7,20.0,6.0,93.6,99.12810194500335,Strong Buy (Long-Term)
GPPL.NS,GUJARAT PIPAVAV PORT LTD,Industrials,Marine Shipping,73332187136.0,151.63,14.224203,3.1129773,0.21802999,1.544,0.266,0.24,0.44472998,6.61,ok,,Small Cap,25.0,18.2,19.8,20.0,10.0,93.0,99.06103286384976,Strong Buy (Long-Term)
EVEREADY.NS,EVEREADY INDS. IND.  LTD.,Industrials,Electrical Equipment & Parts,25934815232.0,356.8,15.105842,4.1632633,0.31645,32.395,12.597,0.094,0.11785,0.7,ok,,Small Cap,25.0,25.0,16.8,20.0,5.9,92.7,98.99396378269618,Strong Buy (Long-Term)
NMDC.NS,NMDC LTD.,Basic Materials,Steel,746601119744.0,84.92,9.9788475,2.1878703,0.23363,18.802,0.372,0.619,0.23231001,4.06,ok,,Mid Cap,25.0,19.5,18.1,20.0,10.0,92.6,98.9268947015426,Strong Buy (Long-Term)
