total_return_pct,annualized_return_pct,annualized_volatility_pct,sharpe_ratio,max_drawdown_pct,win_rate_pct,active_trading_days,total_days,symbol,type,cap_category
-0.12,-0.18,11.18,0.04,-6.68,50.0,40,173,RELIANCE.NS,Strategy,Large Cap
-15.05,-21.15,21.67,-0.99,-20.58,47.6,168,173,RELIANCE.NS,Buy & Hold,Large Cap
-0.81,-1.17,17.31,0.02,-14.1,51.1,47,173,TCS.NS,Strategy,Small Cap
-22.09,-30.48,29.86,-1.07,-38.46,48.5,169,173,TCS.NS,Buy & Hold,Small Cap
0.0,0.0,0.0,,0.0,,0,173,HDFCBANK.NS,Strategy,Large Cap
-23.8,-32.69,23.86,-1.54,-27.53,39.6,169,173,HDFCBANK.NS,Buy & Hold,Large Cap
1.26,1.85,9.9,0.23,-8.75,40.0,15,173,INFY.NS,Strategy,Large Cap
-25.27,-34.58,31.74,-1.18,-40.43,43.8,169,173,INFY.NS,Buy & Hold,Large Cap
-5.06,-7.29,6.18,-1.19,-5.61,40.0,15,173,ICICIBANK.NS,Strategy,Large Cap
4.81,7.09,20.54,0.44,-16.08,49.7,169,173,ICICIBANK.NS,Buy & Hold,Large Cap
8.44,12.53,13.62,0.94,-7.64,56.4,39,173,HINDUNILVR.NS,Strategy,Large Cap
-12.78,-18.06,23.86,-0.72,-17.54,47.9,169,173,HINDUNILVR.NS,Buy & Hold,Large Cap
-13.42,-18.93,12.9,-1.56,-14.07,37.5,24,173,ITC.NS,Strategy,Large Cap
-27.74,-37.71,21.6,-2.08,-29.06,45.8,168,173,ITC.NS,Buy & Hold,Large Cap
0.0,0.0,0.0,,0.0,,0,173,SBIN.NS,Strategy,Large Cap
7.54,11.17,25.69,0.54,-22.11,53.6,168,173,SBIN.NS,Buy & Hold,Large Cap
-1.74,-2.52,11.54,-0.16,-11.97,51.8,56,173,BHARTIARTL.NS,Strategy,Large Cap
-7.67,-10.97,19.8,-0.49,-18.73,49.7,169,173,BHARTIARTL.NS,Buy & Hold,Large Cap
-3.18,-4.59,10.28,-0.41,-8.08,51.7,29,173,KOTAKBANK.NS,Strategy,Large Cap
-6.37,-9.14,22.35,-0.32,-20.33,51.2,168,173,KOTAKBANK.NS,Buy & Hold,Large Cap
-3.66,-5.29,7.47,-0.69,-7.36,60.0,5,173,LT.NS,Strategy,Large Cap
-1.18,-1.72,28.21,0.08,-24.35,49.1,169,173,LT.NS,Buy & Hold,Large Cap
0.0,0.0,0.0,,0.0,,0,173,AXISBANK.NS,Strategy,Large Cap
-3.55,-5.14,26.12,-0.07,-17.23,49.7,169,173,AXISBANK.NS,Buy & Hold,Large Cap
0.0,0.0,0.0,,0.0,,0,173,ASIANPAINT.NS,Strategy,Large Cap
-3.67,-5.3,24.58,-0.1,-28.54,50.9,169,173,ASIANPAINT.NS,Buy & Hold,Large Cap
-4.6,-6.63,16.2,-0.34,-9.05,51.0,51,173,MARUTI.NS,Strategy,Large Cap
-10.91,-15.49,25.7,-0.53,-28.83,49.7,169,173,MARUTI.NS,Buy & Hold,Large Cap
16.06,24.24,12.15,1.85,-5.51,58.6,29,173,SUNPHARMA.NS,Strategy,Small Cap
12.87,19.28,20.52,0.96,-13.23,54.4,169,173,SUNPHARMA.NS,Buy & Hold,Small Cap
0.0,0.0,0.0,,0.0,,0,173,TITAN.NS,Strategy,Small Cap
25.28,38.86,25.05,1.44,-11.27,52.1,169,173,TITAN.NS,Buy & Hold,Small Cap
0.72,1.05,4.57,0.25,-2.81,42.9,14,173,ULTRACEMCO.NS,Strategy,Small Cap
3.55,5.22,25.34,0.33,-20.61,52.1,169,173,ULTRACEMCO.NS,Buy & Hold,Small Cap
-12.9,-18.23,22.17,-0.8,-19.6,43.2,88,173,BAJFINANCE.NS,Strategy,Large Cap
14.35,21.58,31.56,0.77,-23.52,51.2,168,173,BAJFINANCE.NS,Buy & Hold,Large Cap
-28.61,-38.8,21.66,-2.15,-32.85,42.0,88,173,WIPRO.NS,Strategy,Small Cap
-22.07,-30.45,26.88,-1.21,-36.0,49.7,169,173,WIPRO.NS,Buy & Hold,Small Cap
-0.69,-1.0,3.98,-0.23,-3.02,60.0,5,173,NESTLEIND.NS,Strategy,Large Cap
19.08,28.96,20.66,1.33,-11.96,50.3,169,173,NESTLEIND.NS,Buy & Hold,Large Cap
0.95,1.39,31.04,0.2,-25.8,51.5,101,173,PERSISTENT.NS,Strategy,Mid Cap
-11.25,-15.96,36.79,-0.29,-34.27,51.2,168,173,PERSISTENT.NS,Buy & Hold,Mid Cap
-1.79,-2.6,34.38,0.09,-30.02,46.7,122,173,COFORGE.NS,Strategy,Mid Cap
-3.81,-5.5,42.03,0.07,-45.58,47.9,169,173,COFORGE.NS,Buy & Hold,Mid Cap
-5.38,-7.78,13.66,-0.53,-9.31,45.5,44,172,PAGEIND.NS,Strategy,Mid Cap
5.49,8.14,24.71,0.44,-22.28,47.1,170,172,PAGEIND.NS,Buy & Hold,Mid Cap
38.78,61.19,18.18,2.72,-5.49,54.8,93,173,AUBANK.NS,Strategy,Mid Cap
