symbol,shortName,sector,industry,marketCap,currentPrice,trailingPE,cap_category
RELIANCE.NS,RELIANCE INDUSTRIES LTD,Energy,Oil & Gas Refining & Marketing,17709945323520,1308.7,23.71263,Large Cap
TCS.NS,TATA CONSULTANCY SERV LT,Technology,Information Technology Services,8851289014272,2446.4,17.76874,Large Cap
HDFCBANK.NS,HDFC BANK LTD,Financial Services,Banks - Regional,11584576421888,752.0,16.4228,Large Cap
INFY.NS,INFOSYS LIMITED,Technology,Information Technology Services,4733379018752,1168.7,15.07611,Large Cap
ICICIBANK.NS,ICICI BANK LTD.,Financial Services,Banks - Regional,10376145010688,1446.5,18.695877,Large Cap
HINDUNILVR.NS,HINDUSTAN UNILEVER LTD.,Consumer Defensive,Household & Personal Products,4964216733696,2112.8,46.982433,Large Cap
ITC.NS,ITC LTD,Consumer Defensive,Tobacco,3589692719104,286.65,18.07571,Large Cap
SBIN.NS,STATE BANK OF INDIA,Financial Services,Banks - Regional,9571227664384,1036.9,11.378251,Large Cap
BHARTIARTL.NS,BHARTI AIRTEL LIMITED,Communication Services,Telecom Services,12201567977472,1955.8,44.079334,Large Cap
KOTAKBANK.NS,KOTAK MAHINDRA BANK LTD,Financial Services,Banks - Regional,3920896720896,394.2,19.314062,Large Cap
LT.NS,LARSEN & TOUBRO LTD.,Industrials,Engineering & Construction,5509518196736,4004.4,33.223263,Large Cap
AXISBANK.NS,AXIS BANK LIMITED,Financial Services,Banks - Regional,3901962059776,1254.1,14.108448,Large Cap
ASIANPAINT.NS,ASIAN PAINTS LIMITED,Basic Materials,Specialty Chemicals,2669057409024,2784.2,55.986324,Large Cap
MARUTI.NS,MARUTI SUZUKI INDIA LTD.,Consumer Cyclical,Auto Manufacturers,4435905871872,14109.0,30.975433,Large Cap
SUNPHARMA.NS,SUN PHARMACEUTICAL IND L,Healthcare,Drug Manufacturers - Specialty & Generic,4659748012032,1942.1,38.564335,Large Cap
TITAN.NS,TITAN COMPANY LIMITED,Consumer Cyclical,Luxury Goods,4341288140800,4894.1,85.80119,Large Cap
ULTRACEMCO.NS,ULTRATECH CEMENT LIMITED,Basic Materials,Building Materials,3543861559296,12047.0,41.479877,Large Cap
BAJFINANCE.NS,BAJAJ FINANCE LIMITED,Financial Services,Credit Services,7149073203200,1149.2,35.338253,Large Cap
WIPRO.NS,WIPRO LTD,Technology,Information Technology Services,1862828556288,188.31,14.945237,Large Cap
NESTLEIND.NS,NESTLE INDIA LIMITED,Consumer Defensive,Packaged Foods,2913104297984,1510.7,76.37512,Large Cap
PERSISTENT.NS,PERSISTENT SYSTEMS LTD,Technology,Information Technology Services,866535473152,5549.0,46.707367,Mid Cap
COFORGE.NS,COFORGE LIMITED,Technology,Information Technology Services,782677377024,1768.0,36.17021,Mid Cap
PAGEIND.NS,PAGE INDUSTRIES LTD,Consumer Cyclical,Apparel Manufacturing,448051118080,40170.0,58.524433,Mid Cap
AUBANK.NS,AU SMALL FINANCE BANK LTD,Financial Services,Banks - Regional,783175712768,1046.1,27.748009,Mid Cap
PIIND.NS,PI INDUSTRIES LTD,Basic Materials,Agricultural Inputs,428114739200,2822.0,32.459167,Mid Cap
MPHASIS.NS,MPHASIS LIMITED,Technology,Information Technology Services,461739130880,2419.8,24.193163,Mid Cap
ASTRAL.NS,ASTRAL LIMITED,Industrials,Building Products & Equipment,391074054144,1455.7,72.82141,Mid Cap
TRENT.NS,TRENT LTD,Consumer Cyclical,Apparel Retail,1620546289664,3039.1,94.49938,Large Cap
POLYCAB.NS,POLYCAB INDIA LIMITED,Industrials,Electrical Equipment & Parts,1358502297600,9018.5,47.61113,Large Cap
CUMMINSIND.NS,CUMMINS INDIA LTD,Industrials,Specialty Industrial Machinery,1526817619968,5508.0,64.807625,Large Cap
SRF.NS,SRF LTD,Industrials,Conglomerates,782245167104,2639.1,36.196682,Mid Cap
APLAPOLLO.NS,APL APOLLO TUBES LTD,Basic Materials,Steel,539018264576,1941.0,44.83372,Mid Cap
SUPREMEIND.NS,SUPREME INDUSTRIES LTD,Industrials,Building Products & Equipment,448598736896,3530.0,43.34479,Mid Cap
COROMANDEL.NS,COROMANDEL INTERNTL. LTD,Basic Materials,Agricultural Inputs,620239388672,2106.1,33.854687,Mid Cap
GODREJPROP.NS,GODREJ PROPERTIES LTD,Real Estate,Real Estate - Development,622543634432,2066.7,33.61034,Mid Cap
CAMS.NS,COMPUTER AGE MNGT SER LTD,Technology,Information Technology Services,197557960704,795.65,41.63527,Small Cap
ROUTE.NS,ROUTE MOBILE LIMITED,Communication Services,Telecom Services,34072064000,540.8,13.7189245,Small Cap
HAPPSTMNDS.NS,HAPPIEST MINDS TECHNO LTD,Technology,Information Technology Services,57527783424,382.85,25.885735,Small Cap
TANLA.NS,TANLA PLATFORMS LIMITED,Technology,Software - Application,80956325888,612.5,15.243902,Small Cap
LATENTVIEW.NS,LATENT VIEW ANALYTICS LTD,Industrials,Consulting Services,61498105856,297.2,31.12042,Small Cap
RATNAMANI.NS,RATNAMANI MET & TUB LTD.,Basic Materials,Steel,166797934592,2379.7,34.548492,Small Cap
KFINTECH.NS,KFIN TECHNOLOGIES LIMITED,Technology,Software - Application,162898984960,942.45,47.8401,Small Cap
JBCHEPHARM.NS,J B CHEMICALS AND PHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,387925901312,2416.1,54.221275,Mid Cap
GRAVITA.NS,GRAVITA INDIA LIMITED,Industrials,Metal Fabrication,121433694208,1667.2,30.971575,Small Cap
